keys,en,ar
APP_TITLE,City Bus Driver,سائق حافلة المدينة
APP_SUBTITLE,Original mobile bus driving game,لعبة قيادة حافلات أصلية للجوال
MENU_PLAY,Play,ابدأ اللعب
MENU_GARAGE,Garage,المرآب
MENU_SETTINGS,Settings,الإعدادات
MENU_HOWTO,How to play,كيف تلعب
MENU_QUIT,Quit,خروج
MENU_COINS,Coins,العملات
MENU_STARS,Stars,النجوم
MENU_LANGUAGE,Language,اللغة
BACK,Back,رجوع
ROUTES_TITLE,Choose a route,اختر خطاً
ROUTE_LOCKED,Locked - earn %d stars,مغلق - احصل على %d نجوم
ROUTE_BEST,Best: %d,أفضل نتيجة: %d
ROUTE_STOPS,%d stops,%d محطات
ROUTE_TIME,%d min,%d دقائق
ROUTE_1_NAME,Downtown Loop,جولة وسط المدينة
ROUTE_2_NAME,Sunset Express,خط الغروب السريع
ROUTE_3_NAME,Night Shift,الوردية الليلية
ROUTE_4_NAME,Harbor Run,خط المرفأ
TIME_DAY,Day,نهار
TIME_SUNSET,Sunset,غروب
TIME_NIGHT,Night,ليل
START,Start,انطلق
GARAGE_TITLE,Garage,المرآب
GARAGE_SELECT,Select,اختيار
GARAGE_SELECTED,Selected,مُختار
GARAGE_BUY,Buy for %d,اشترِ بـ %d
GARAGE_NOT_ENOUGH,Not enough coins,لا توجد عملات كافية
COLOR_RED,City Red,أحمر المدينة
COLOR_BLUE,Ocean Blue,أزرق المحيط
COLOR_GREEN,Park Green,أخضر الحدائق
COLOR_YELLOW,Sun Yellow,أصفر الشمس
COLOR_WHITE,Pearl White,أبيض لؤلؤي
COLOR_PURPLE,Royal Purple,بنفسجي ملكي
SETTINGS_TITLE,Settings,الإعدادات
SET_CONTROLS,Steering control,طريقة التحكم
CTRL_WHEEL,Steering wheel,عجلة القيادة
CTRL_BUTTONS,Arrow buttons,أزرار الأسهم
CTRL_TILT,Tilt phone,إمالة الهاتف
SET_SOUND,Sound,الصوت
ON,On,مفعّل
OFF,Off,متوقف
SET_QUALITY,Graphics quality,جودة الرسوميات
QUALITY_LOW,Low (faster),منخفضة (أسرع)
QUALITY_HIGH,High,عالية
SET_CAMERA,Camera,الكاميرا
CAM_CHASE,Chase,خلفية
CAM_DRIVER,Driver seat,مقعد السائق
CAM_TOP,High view,علوية
SET_INVERT_TILT,Invert tilt,عكس الإمالة
SET_VIBRATION,Vibration,الاهتزاز
SET_RESET,Reset progress,إعادة ضبط التقدم
SET_RESET_CONFIRM,Progress reset!,تمت إعادة الضبط!
HOWTO_TITLE,How to play,كيف تلعب
HOWTO_1,Drive the bus along the route shown on the minimap and follow the green arrow.,قُد الحافلة على الخط الظاهر في الخريطة الصغيرة واتبع السهم الأخضر.
HOWTO_2,Stop inside the yellow zone at every bus stop and open the doors to let passengers board.,توقّف داخل المنطقة الصفراء عند كل محطة وافتح الأبواب ليصعد الركاب.
HOWTO_3,Close the doors before driving away. The bus will not move with open doors.,أغلق الأبواب قبل الانطلاق. لن تتحرك الحافلة والأبواب مفتوحة.
HOWTO_4,Avoid collisions with cars and buildings and respect the speed limit.,تجنّب الاصطدام بالسيارات والمباني والتزم بحد السرعة.
HOWTO_5,Reach the terminal before the time runs out to earn stars and coins.,اصل إلى المحطة النهائية قبل انتهاء الوقت لتكسب النجوم والعملات.
HOWTO_6,Right side: gas and brake pedals. Left side: steering. Hold the brake at a standstill to reverse.,اليمين: دوّاسة الوقود والفرامل. اليسار: المقود. اضغط الفرامل مطولاً أثناء التوقف للرجوع للخلف.
HUD_NEXT_STOP,Next stop,المحطة التالية
HUD_TERMINAL,Terminal,المحطة النهائية
HUD_PASSENGERS,Passengers,الركاب
HUD_SCORE,Score,النقاط
HUD_TIME,Time,الوقت
HUD_DAMAGE,Damage,الضرر
HUD_KMH,km/h,كم/س
MSG_GO,Go! Drive to the first stop,انطلق! توجّه إلى المحطة الأولى
MSG_OPEN_DOORS,Open the doors to board passengers,افتح الأبواب لاستقبال الركاب
MSG_BOARDING,Boarding...,الركاب يصعدون...
MSG_CLOSE_DOORS,Close the doors and continue,أغلق الأبواب وتابع الطريق
MSG_DOORS_OPEN_DRIVE,Close the doors before driving!,أغلق الأبواب قبل القيادة!
MSG_STOP_DONE,Stop complete +%d,اكتملت المحطة +%d
MSG_STOP_MISSED,Missed a stop! -200,فاتتك محطة! -200
MSG_COLLISION,Collision! -%d,تصادم! -%d
MSG_SPEEDING,Slow down! Limit %d km/h,خفّف السرعة! الحد %d كم/س
MSG_TERMINAL,All stops done - head to the terminal,اكتملت المحطات - توجّه إلى المحطة النهائية
MSG_STOP_HERE,Stop here,توقّف هنا
MSG_TIME_LOW,Hurry up!,أسرع!
COUNTDOWN_GO,GO!,انطلق!
PAUSED,Paused,إيقاف مؤقت
RESUME,Resume,متابعة
RESTART,Restart,إعادة
MAIN_MENU,Main menu,القائمة الرئيسية
RESULT_COMPLETE,Route complete!,اكتمل الخط!
RESULT_FAILED_TIME,Out of time,انتهى الوقت
RESULT_FAILED_DAMAGE,Bus wrecked,تعطلت الحافلة
RESULT_PASSENGERS,Passengers delivered,الركاب الموصَلون
RESULT_STOPS,Stops served,المحطات المخدومة
RESULT_COLLISIONS,Collisions,التصادمات
RESULT_TIME_BONUS,Time bonus,مكافأة الوقت
RESULT_TOTAL,Total score,مجموع النقاط
RESULT_COINS,Coins earned,العملات المكتسبة
RESULT_NEW_BEST,New best!,رقم قياسي جديد!
NEXT_ROUTE,Next route,الخط التالي
RETRY,Try again,حاول مجدداً
BTN_HORN,Horn,بوق
BTN_DOORS,Doors,الأبواب
BTN_CAM,Camera,كاميرا
BTN_GAS,Gas,وقود
BTN_BRAKE,Brake,فرامل
BTN_REVERSE,Reverse,رجوع
TILT_HINT,Tilt the phone to steer,أمِل الهاتف للتوجيه
MENU_ABOUT,About & licenses,حول اللعبة والرخص
ABOUT_TITLE,About,حول اللعبة
ABOUT_GAME,City Bus Driver v%s - an original bus driving game. All 3D models and sounds are generated by the game itself.,سائق حافلة المدينة الإصدار %s - لعبة قيادة حافلات أصلية. كل النماذج والأصوات مولّدة داخل اللعبة نفسها.
ABOUT_ENGINE,Made with Godot Engine %s (MIT license):,صُنعت بمحرك Godot Engine %s (رخصة MIT):
ABOUT_FONT,Cairo font by The Cairo Project Authors - SIL Open Font License 1.1.,خط Cairo من The Cairo Project Authors - رخصة SIL Open Font License 1.1.
ABOUT_THIRD_PARTY,Third-party components included in Godot Engine:,المكوّنات الخارجية المضمّنة في محرك Godot:
